,A,C,D,E,G,H,I,J,F,K,M,N,O,P,R,T,U
A,0,0.767963355449144,0.746959511800763,0.819758696832281,0.732419210568553,0.844000601387896,0.86845878178725,0.973675047008845,0.739096622673704,0.948237318744425,0.762086447015225,0.805443841460535,0.824505832507046,0.756831804746009,0.803789343967686,0.831496165294434,0.842851901799715
C,0.767963355449144,0,0.352551662694993,0.352358240892478,0.548525551719329,0.163179431215225,0.308299709361496,0.983502823449396,0.345432661584168,0.896083126025834,0.153613195767229,0.5545674656892,0.577585161393079,0.58046146552694,0.668963386430993,0.206647360357142,0.694061934396763
D,0.746959511800763,0.352551662694993,0,0.226786916248756,0.516460889906943,0.313414087899199,0.584997796436511,0.979194801554668,0.246388498141902,0.856829401998357,0.349295702552962,0.452337045999834,0.522816790806616,0.463423546253576,0.621685789572406,0.381066095191672,0.705678569470054
E,0.819758696832281,0.352358240892478,0.226786916248756,0,0.675986997321526,0.234037920324508,0.495173207562858,0.971343041571724,0.30254783761043,0.92047238717972,0.296807430176917,0.418092540034898,0.56268716788162,0.598871482431436,0.689220229680662,0.41086611848163,0.759931323093448
G,0.732419210568553,0.548525551719329,0.516460889906943,0.675986997321526,0,0.606368413816665,0.748771392197225,0.97560185041294,0.551662778619513,0.723039190364683,0.689767668264039,0.676577062068494,0.457615549175994,0.191536564898423,0.780567622872626,0.475843918436021,0.781447502340598
H,0.844000601387896,0.163179431215225,0.313414087899199,0.234037920324508,0.606368413816665,0,0.224299001283395,0.984731879001777,0.351403530327385,0.889669138508492,0.184905541458126,0.426783998757512,0.482544515970919,0.536178227892354,0.666023643955253,0.203327727546072,0.681899100892717
I,0.86845878178725,0.308299709361496,0.584997796436511,0.495173207562859,0.748771392197225,0.224299001283395,0,0.991001222824807,0.55541665405595,0.991615610123318,0.351760612788023,0.478202759503629,0.443687188771227,0.673090155794948,0.768147778182471,0.389066691961999,0.739187557959163
J,0.973675047008845,0.983502823449396,0.979194801554668,0.971343041571724,0.97560185041294,0.984731879001777,0.991001222824807,0,0.976214059982853,0.990493336422999,0.983333846166193,0.9872380409695,0.985463178724095,0.978542913138947,0.983553090775264,0.986664598502374,0.990043903619456
F,0.739096622673704,0.345432661584168,0.246388498141902,0.30254783761043,0.551662778619513,0.351403530327385,0.55541665405595,0.976214059982853,0,0.901795119350563,0.317658253069928,0.487818834663321,0.486935867268499,0.480388323555618,0.632326692603289,0.429911398074439,0.695601117530683
K,0.948237318744425,0.896083126025834,0.856829401998357,0.92047238717972,0.723039190364683,0.889669138508492,0.991615610123318,0.990493336422999,0.901795119350563,0,0.949020605800475,0.910402506517827,0.850841666695122,0.743770441603529,0.752701430228809,0.81313810308652,0.884717432910503
M,0.762086447015225,0.153613195767229,0.349295702552962,0.296807430176917,0.689767668264039,0.184905541458126,0.351760612788023,0.983333846166193,0.317658253069928,0.949020605800475,0,0.534566084929863,0.673686412459605,0.649238649128059,0.662035017885699,0.213914470494168,0.705691695216868
N,0.805443841460535,0.5545674656892,0.452337045999834,0.418092540034898,0.676577062068494,0.426783998757512,0.478202759503629,0.9872380409695,0.487818834663321,0.910402506517827,0.534566084929863,0,0.404511425763848,0.580835249864768,0.741015018877667,0.612864533091158,0.778495630195979
O,0.824505832507046,0.577585161393079,0.522816790806616,0.56268716788162,0.457615549175994,0.482544515970919,0.443687188771227,0.985463178724095,0.486935867268499,0.850841666695122,0.673686412459605,0.404511425763848,0,0.377023744212998,0.772399362844763,0.548945280867739,0.734122532152408
P,0.756831804746009,0.58046146552694,0.463423546253576,0.598871482431436,0.191536564898423,0.536178227892354,0.673090155794948,0.978542913138947,0.480388323555618,0.743770441603529,0.649238649128059,0.580835249864768,0.377023744212999,0,0.752390238677747,0.482146377863551,0.769755605884479
R,0.803789343967686,0.668963386430993,0.621685789572406,0.689220229680662,0.780567622872626,0.666023643955253,0.768147778182471,0.983553090775264,0.632326692603289,0.752701430228809,0.662035017885699,0.741015018877667,0.772399362844763,0.752390238677747,0,0.646243633525162,0.353954952421145
T,0.831496165294434,0.206647360357142,0.381066095191672,0.41086611848163,0.475843918436021,0.203327727546072,0.389066691961999,0.986664598502374,0.429911398074439,0.81313810308652,0.213914470494168,0.612864533091158,0.548945280867739,0.482146377863551,0.646243633525162,0,0.667873627317091
U,0.842851901799715,0.694061934396763,0.705678569470054,0.759931323093448,0.781447502340598,0.681899100892717,0.739187557959163,0.990043903619456,0.695601117530683,0.884717432910503,0.705691695216868,0.778495630195979,0.734122532152408,0.769755605884479,0.353954952421145,0.667873627317091,0
