isolate_id,st
PCMP_H100,ST258
PCMP_H101,ST258
PCMP_H102,ST15-1LV
PCMP_H103,ST258
PCMP_H104,ST258
PCMP_H105,ST258
PCMP_H106,ST258
PCMP_H107,ST258
PCMP_H108,ST258
PCMP_H109,ST258
PCMP_H10,ST258
PCMP_H110,ST258
PCMP_H111,ST258
PCMP_H112,ST258
PCMP_H113,ST258
PCMP_H114,ST15
PCMP_H115,ST258
PCMP_H116,ST258
PCMP_H117,ST258
PCMP_H118,ST258
PCMP_H119,ST258
PCMP_H11,ST258
PCMP_H120,ST258
PCMP_H121,ST258
PCMP_H122,ST258
PCMP_H123,ST258
PCMP_H124,ST258
PCMP_H125,ST258
PCMP_H126,ST307
PCMP_H128,ST307
PCMP_H129,ST307
PCMP_H12,ST258
PCMP_H130,ST258
PCMP_H131,ST258
PCMP_H132,ST258
PCMP_H133,ST258
PCMP_H134,ST258
PCMP_H135,ST258
PCMP_H136,ST258
PCMP_H137,ST258
PCMP_H138,ST258
PCMP_H13,ST258
PCMP_H140,ST258
PCMP_H141,ST258
PCMP_H142,ST258
PCMP_H143,ST258
PCMP_H144,ST258
PCMP_H145,ST258
PCMP_H146,ST258
PCMP_H147,ST258
PCMP_H148,ST258
PCMP_H149,ST258
PCMP_H14,ST258
PCMP_H150,ST258
PCMP_H151,ST258
PCMP_H152,ST258
PCMP_H153,ST258
PCMP_H154,ST258
PCMP_H155,ST258
PCMP_H156,ST258
PCMP_H157,ST258
PCMP_H158,ST258
PCMP_H159,ST258
PCMP_H15,ST258
PCMP_H160,ST258
PCMP_H161,ST258
PCMP_H162,ST258
PCMP_H163,ST258
PCMP_H164,ST15
PCMP_H165,ST258
PCMP_H166,ST258
PCMP_H167,ST258
PCMP_H168,ST258
PCMP_H169,ST258
PCMP_H16,ST258
PCMP_H170,ST258
PCMP_H171,ST258
PCMP_H172,ST258
PCMP_H173,ST258
PCMP_H174,ST258
PCMP_H175,ST258
PCMP_H176,ST258
PCMP_H177,ST258
PCMP_H178,ST258
PCMP_H179,ST258
PCMP_H17,ST258
PCMP_H180,ST193
PCMP_H181,ST258
PCMP_H182,ST258
PCMP_H183,ST258
PCMP_H184,ST258
PCMP_H185,ST1832
PCMP_H186,ST258
PCMP_H187,ST258
PCMP_H18,ST258
PCMP_H191,ST258
PCMP_H192,ST258
PCMP_H193,ST258
PCMP_H194,ST258
PCMP_H195,ST258
PCMP_H196,ST258
PCMP_H197,ST258
PCMP_H198,ST258
PCMP_H199,ST258
PCMP_H19,ST258
PCMP_H1,ST258
PCMP_H200,ST258
PCMP_H201,ST258
PCMP_H202,ST258
PCMP_H204,ST258
PCMP_H205,ST258
PCMP_H206,ST258
PCMP_H207,ST258
PCMP_H208,ST258
PCMP_H209,ST258
PCMP_H210,ST258
PCMP_H211,ST258
PCMP_H212,ST258
PCMP_H213,ST258
PCMP_H214,ST258
PCMP_H215,ST258
PCMP_H216,ST258
PCMP_H218,ST258
PCMP_H219,ST258
PCMP_H21,ST258
PCMP_H220,ST258
PCMP_H221,ST258
PCMP_H222,ST258
PCMP_H223,ST258
PCMP_H224,ST258
PCMP_H225,ST258
PCMP_H226,ST258
PCMP_H227,ST258
PCMP_H228,ST258
PCMP_H229,ST258
PCMP_H22,ST258
PCMP_H230,ST258
PCMP_H231,ST258
PCMP_H232,ST258
PCMP_H233,ST258
PCMP_H234,ST258
PCMP_H235,ST258
PCMP_H236,ST258
PCMP_H237,ST258
PCMP_H238,ST258
PCMP_H239,ST258
PCMP_H23,ST258
PCMP_H240,ST258
PCMP_H241,ST258
PCMP_H242,ST258
PCMP_H243,ST34
PCMP_H245,ST307
PCMP_H246,ST258
PCMP_H247,ST258
PCMP_H249,ST258
PCMP_H24,ST15
PCMP_H250,ST258
PCMP_H251,ST258
PCMP_H252,ST258
PCMP_H253,ST258
PCMP_H254,ST258
PCMP_H255,ST258
PCMP_H256,ST258
PCMP_H257,ST258
PCMP_H258,ST258
PCMP_H259,ST258
PCMP_H25,ST15-1LV
PCMP_H260,ST36
PCMP_H261,ST258
PCMP_H262,ST258
PCMP_H264,ST258
PCMP_H265,ST258
PCMP_H266,ST258
PCMP_H267,ST258
PCMP_H268,ST258
PCMP_H269,ST258
PCMP_H26,ST258
PCMP_H270,ST258
PCMP_H271,ST258
PCMP_H272,ST258
PCMP_H273,ST258
PCMP_H274,ST258
PCMP_H275,ST258
PCMP_H276,ST258
PCMP_H277,ST258
PCMP_H278,ST258
PCMP_H27,ST258
PCMP_H280,ST258
PCMP_H281,ST258
PCMP_H282,ST258
PCMP_H283,ST258
PCMP_H284,ST258
PCMP_H285,ST258
PCMP_H286,ST258
PCMP_H287,ST258
PCMP_H288,ST258
PCMP_H289,ST258
PCMP_H28,ST345
PCMP_H290,ST258
PCMP_H291,ST258
PCMP_H292,ST258
PCMP_H293,ST258
PCMP_H294,ST258
PCMP_H295,ST258
PCMP_H296,ST258
PCMP_H297,ST258
PCMP_H298,ST17
PCMP_H299,ST258
PCMP_H29,ST15
PCMP_H2,ST258
PCMP_H300,ST258
PCMP_H301,ST258
PCMP_H302,ST258
PCMP_H303,ST258
PCMP_H304,ST36
PCMP_H305,ST258
PCMP_H306,ST258
PCMP_H307,ST258
PCMP_H308,ST258
PCMP_H309,ST258
PCMP_H30,ST258
PCMP_H310,ST107
PCMP_H311,ST258
PCMP_H312,ST258
PCMP_H313,ST258
PCMP_H314,ST258
PCMP_H315,ST258
PCMP_H316,ST258
PCMP_H317,ST258
PCMP_H318,ST258
PCMP_H319,ST258
PCMP_H31,ST258
PCMP_H320,ST258
PCMP_H321,ST2237
PCMP_H322,ST258
PCMP_H323,ST258
PCMP_H324,ST15
PCMP_H325,ST258
PCMP_H326,ST258
PCMP_H327,ST258
PCMP_H328,ST258
PCMP_H329,ST258
PCMP_H32,ST258
PCMP_H330,ST258
PCMP_H331,ST258
PCMP_H332,ST258
PCMP_H334,ST15
PCMP_H335,ST258
PCMP_H336,ST15
PCMP_H337,ST258
PCMP_H338,ST258
PCMP_H339,ST258
PCMP_H33,ST258
PCMP_H340,ST258
PCMP_H341,ST15
PCMP_H342,ST258
PCMP_H343,ST258
PCMP_H344,ST258
PCMP_H345,ST258
PCMP_H346,ST258
PCMP_H347,ST258
PCMP_H348,ST258
PCMP_H349,ST258
PCMP_H34,ST258
PCMP_H350,ST258
PCMP_H351,ST258
PCMP_H352,ST17
PCMP_H353,ST258
PCMP_H354,ST258
PCMP_H355,ST258
